id;ma_de_tai;ten_de_tai;muc_tieu;ngay_bd_du_kien;ngay_kt_du_kien;kinh_phi_du_kien;noi_dung_tong_quan;kinh_phi_hoan_thanh;tong_diem
1;Norfolk Island Chilean Peso Unidades de fomento Checking Account;invoice Outdoors New York;multi-byte Jamaican Dollar North Carolina;2019-12-02;2019-12-01;81120;parsing Investment Account;82042;96119
2;Dynamic black;yellow;Books Generic;2019-12-01;2019-12-02;7118;functionalities quantifying;2327;34062
3;directional Avon Solomon Islands Dollar;Personal Loan Account HTTP;schemas Specialist China;2019-12-01;2019-12-01;56852;Wyoming interface Cotton;25001;77641
4;user-centric Infrastructure;Managed Dobra application;Fantastic;2019-12-01;2019-12-01;50525;navigating encoding;89552;9998
5;Small Frozen Salad bypassing;time-frame Quality;Borders Borders Practical;2019-12-02;2019-12-02;60244;Pakistan;21272;75237
6;neural back-end Unbranded;Associate Designer;mindshare;2019-12-01;2019-12-01;35091;Frozen Metal program;61821;86686
7;bypassing;Algerian Dinar Fantastic Fresh Salad;Steel Avon Visionary;2019-12-01;2019-12-02;86313;SAS User-centric;90769;98600
8;navigate repurpose;Buckinghamshire;Oklahoma communities;2019-12-01;2019-12-02;11119;Bedfordshire Tools;46866;57147
9;hack;Fresh payment synthesize;Versatile seize;2019-12-01;2019-12-02;8289;Cyprus web services auxiliary;97790;96987
10;Incredible Fresh Car Tuvalu;Senior Optional Yemeni Rial;Central African Republic;2019-12-01;2019-12-02;69574;Wells;62755;69692
